headline,abstract,lead paragraph,first keyword,type of material,lead paragraph keywords,Main Keywords lead paragraph (tf- idf),abstract keywords,Main Keywords abstract (tf- idf),headline keywords,Main Keywords headline (tf- idf)
A Boogie Wit Da Hoodie Holds at Top of Chart in Echo of Last Week’s Numbers,"“Hoodie SZN” had the equivalent of 56,000 sales in the United States, down 4 percent from last week, and the “Spider-Man” soundtrack rose to No. 2.","Squint and this week’s Billboard album chart looks almost identical to last week’s, as the rapper A Boogie Wit Da Hoodie holds at No. 1 and most of rest of the Top 10 is just slightly reshuffled.",Music,News,"week, squint, billboard","['squint', 'week', '’', 'chart', 'week', 'rapper', 'boogi', 'wit', 'da', 'hoodi', 'rest']","hoodie, szn, equivalent","['“', 'hoodi', 'szn', '”', 'equival', 'sale', 'state', 'percent', 'week', '“', 'spiderman', '”', 'soundtrack']","boogie, wit, da","['boogi', 'wit', 'da', 'hoodi', 'top', 'chart', 'echo', 'week', 'number']"
Can I Fit a Bed and a Dresser in Here?,A California transplant discovers how small Manhattan apartments can be. ,"Blake Bejan knew that moving from San Francisco to Manhattan would be an adjustment, but he never imagined that owning a queen-size bed would be a problem. Or that having the space for a dresser and some shelves could be considered a luxury.",Renting and Leasing (Real Estate),News,"would, blake, bejan","['blake', 'bejan', 'francisco', 'adjust', 'queensiz', 'bed', 'problem', 'space', 'dresser', 'shelv', 'luxuri']","california, transplant, discovers","['california', 'transplant', 'apart']","fit, bed, dresser","['bed', 'dresser']"
"Backstage, a ‘School of Rock’ Staffer Faces Graduation","Jill Valentine was head guardian for the musical, which closed Sunday, for almost four years, making sure the child actors were fed, watered and rested.","Jill Valentine is pretty sure the kids have a nickname for her: Fun Killer. For nearly four years, Ms. Valentine has been the head guardian of “School of Rock,” which played its last performance on Sunday at the Winter Garden Theater. Guardians care for child actors during rehearsals and before and after performances, making sure they’re fed, watered and rested. Ms. Valentine distributes children’s pain relievers, she runs science flashcards, she confiscates contraband.",Theater,News,"valentine, sure, m","['jill', 'valentin', 'kid', 'nicknam', 'fun', 'killer', 'year', 'valentin', 'head', 'guardian', 'school', 'rock', '”', 'perform', 'sunday', 'winter', 'garden', 'theater', 'guardian', 'child', 'actor', 'rehears', 'perform', 'fed', 'm', 'valentin', 'child', 'pain', 'reliev', 'scienc', 'flashcard', 'contraband']","jill, valentine, head","['jill', 'valentin', 'guardian', 'sunday', 'year', 'child', 'actor']","backstage, school, rock","['school', 'rock', '’', 'staffer', 'graduat']"
Plan B for Brexit Looks a Lot Like the Defeated Plan A,"The prime minister may be hoping that as the Brexit deadline approaches, lawmakers will vote for her plan despite misgivings.","After her Brexit plan went down to the most resounding defeat in modern British history, Prime Minister Theresa May was told to come back with a Plan B.",Great Britain Withdrawal from EU (Brexit),News,"plan, brexit, went","['brexit', 'plan', 'defeat', 'histori', 'minist', 'theresa', 'plan']","prime, minister, may","['minist', 'brexit', 'deadlin', 'lawmak', 'plan', 'misgiv']","plan, b, brexit","['plan', 'brexit', 'lot', 'plan']"
Government Shutdown Updates: Where Things Stand,"President Trump agreed to reopen the government for three weeks, a surprise retreat from his demands for a border wall. Here’s what else has happened.",Updated Jan. 25,Shutdowns (Institutional),News,"updated, jan, 25",['jan'],"president, trump, agreed","['presid', 'trump', 'govern', 'week', 'surpris', 'retreat', 'demand', 'border', 'wall']","government, shutdown, update","['govern', 'shutdown', 'thing']"
Trump Lays Wreath at Brief Visit to Martin Luther King Jr. Memorial,President Trump’s stop — to observe a moment of silence without extended public remarks — appeared to be a last-minute addition to his calendar.,WASHINGTON — President Trump briefly visited a national monument to the Rev. Dr. Martin Luther King Jr. on Monday to lay a wreath below the towering statue of the slain civil rights leader.,United States Politics and Government,News,"washington, president, trump","['washington', '—', 'presid', 'trump', 'briefli', 'monument', 'rev', 'dr', 'martin', 'jr', 'monday', 'wreath', 'statu', 'slain', 'right', 'leader']","president, trump, stop","['presid', 'trump', '’', '—', 'moment', 'silenc', 'public', 'remark', 'addit', 'calendar']","trump, lay, wreath","['trump', 'wreath', 'visit', 'jr', 'memori']"
Donald Trump Did Something Right,"His administration has ordered hospitals to reveal their prices. If patients and politicians pay attention, this could be a big deal.","As Donald Trump was fighting with Congress over the shutdown and funding for a border wall, his administration implemented a new rule that could be a game-changer for health care. ",Health Insurance and Managed Care,Op-Ed,"donald, trump, fighting","['trump', 'congress', 'shutdown', 'fund', 'border', 'wall', 'administr', 'rule', 'gamechang', 'health', 'care']","administration, ordered, hospital","['administr', 'hospit', 'price', 'patient', 'politician', 'attent', 'deal']","donald, trump, something","['trump', 'someth', 'right']"
A Lovestruck Poultry Farmer on a Journey Far From Home,"In Chigozie Obioma’s new novel, “An Orchestra of Minorities,” a humble Nigerian embarks on an epic quest to prove himself worthy of the woman he loves.","AN ORCHESTRA OF MINORITIES By Chigozie Obioma 446 pp. Little, Brown & Company. $28.",Books and Literature,Review,"orchestra, minority, chigozie","['orchestra', 'minor', 'chigozi', 'obioma', 'pp', 'compani']","chigozie, obioma, new","['obioma', '’', 'novel', 'orchestra', 'minor', 'embark', 'epic', 'quest', 'worthi', 'woman']","lovestruck, poultry, farmer","['poultri', 'farmer', 'journey', 'home']"
Celine’s New Wave Man ,"Hedi Slimane presented his first men’s wear collection for Celine, one of several designers now competing for the attention of a new-boy generation.",PARIS — The kids will be all right. Hedi Slimane will see to that.,"Slimane, Hedi",News,"paris, kid, right","['pari', 'kid', 'hedi', 'sliman']","hedi, slimane, presented","['hedi', 'sliman', 'men', 'collect', 'design', 'attent', 'gener']","celine, new, wave","['celin', '’', 'wave', 'man']"
"Brexit, U.S. Shutdown, Chinese Economy: Your Tuesday Briefing",Let us help you start your day.,(Want to get this briefing by email? Here’s the sign-up.) ,,briefing,"want, get, briefing","['want', 'brief', 'email', '’', 'signup']","let, u, help",['day'],"brexit, u, shutdown","['brexit', 'economi', 'brief']"
"On King Holiday, Democrats Convey Hope, Remorse and Invective Against Trump","Former Vice President Joseph R. Biden Jr. expressed regret for past support of crime legislation, while Bernie Sanders called President Trump a racist.","WASHINGTON — The commemoration of Martin Luther King’s Birthday on Monday became a day of confession, invective and promise for prominent Democrats, who used events across the country honoring the slain civil rights leader to try to inoculate themselves from criticism, lash out at President Trump as a racist and, in one case, begin a history-making run for the White House.",United States Politics and Government,News,"washington, commemoration, martin","['washington', 'commemor', 'martin', 'luther', 'birthday', 'monday', 'day', 'confess', 'invect', 'promis', 'democrat', 'event', 'countri', 'right', 'leader', 'critic', 'presid', 'trump', 'racist', 'case', 'historymak', 'run', 'hous']","president, former, vice","['vice', 'presid', 'joseph', 'r', 'biden', 'jr', 'regret', 'support', 'crime', 'legisl', 'berni', 'sander', 'presid', 'trump', 'racist']","king, holiday, democrat","['holiday', 'democrat', 'remors', 'trump']"
The Marvelous Ms. Elaine May,"A program at Film Forum showcases her brilliance as a director in movies like “A New Leaf” and, yes, “Ishtar.”","The troubles on “A New Leaf” (1971), Elaine May’s directorial debut, were worrisome before they were legion. She had never directed a movie and had to learn as she went along. The head of the studio changed while she was making it (the new boss wasn’t keen). And then there was her peerless star, Walter Matthau, whom she grew to love but who called her Mrs. Hitler. Years later, she suggested what the real problem was. People thought that May, a slight, beautiful woman, was “a nice girl, and the thing is, of course, I wasn’t a nice girl.” She added, “And when they found this out, they hated me all the more.”",Movies,News,"new, may, nice","['troubl', 'leaf', '”', 'elain', 'debut', 'legion', 'movi', 'head', 'studio', 'bos', '’', 'keen', 'star', 'walter', 'matthau', 'mr', 'hitler', 'year', 'problem', 'peopl', 'woman', 'girl', 'thing', 'cours', '’', 'girl', '”', '“']","program, film, forum","['program', 'film', 'forum', 'brillianc', 'director', 'movi', 'leaf', '”', '“', 'ishtar', '”']","marvelous, m, elaine","['m', 'elain']"
Explosion and Fire Off Crimea Kill 11 Sailors,"Two tankers performing a fuel transfer near the contested Kerch Strait caught fire, leading to the deaths. The strait is a sticking point in relations between Russia and Ukraine.","MOSCOW — An explosion and a fire involving two tanker ships near the contested Kerch Strait, the waterway separating Crimea from mainland Russia, left at least 11 sailors dead on Monday and several missing, according to Russian news reports.",Maritime Accidents and Safety,News,"moscow, explosion, fire","['moscow', 'explos', 'fire', 'tanker', 'ship', 'kerch', 'waterway', 'crimea', 'mainland', 'russia', 'sailor', 'monday', 'news', 'report']","strait, two, tanker","['tanker', 'fuel', 'transfer', 'kerch', 'strait', 'fire', 'death', 'strait', 'point', 'relat', 'russia', 'ukrain']","explosion, fire, crimea","['explos', 'crimea', 'sailor']"
They Still Like Steve King Here,The Iowa congressman has been saying offensive things for years but many of his supporters don’t seem concerned.,"STORM LAKE, Iowa  — The Republicans in Des Moines and Washington are doing what they can to run away from and run off Representative Steve King, the Republican from my district, for yet more of his outlandish remarks over white supremacy, nationalism and western civilization — remarks that simply echo things he has said many times over the past two decades in my paper, The Storm Lake Times.",Race and Ethnicity,Op-Ed,"storm, lake, republican","['storm', 'lake', 'iowa', 'republican', 'de', 'moin', 'washington', 'steve', 'republican', 'district', 'remark', 'supremaci', 'nation', 'civil', '—', 'remark', 'thing', 'time', 'decad', 'paper', 'storm', 'lake', 'time']","iowa, congressman, saying","['iowa', 'congressman', 'thing', 'year', 'support']","still, like, steve",['steve']
"Greenland’s Melting Ice Nears a ‘Tipping Point,’ Scientists Say","With the Arctic warming rapidly, ice loss in Greenland is accelerating and may soon be a major factor in rising sea levels, according to a new study.","Greenland’s enormous ice sheet is melting at such an accelerated rate that it may have reached a “tipping point” and could become a major factor in sea-level rise around the world within two decades, scientists said in a study published on Monday.",Greenland,News,"greenland, enormous, ice","['greenland', '’', 'ice', 'sheet', 'rate', 'tip', 'point', '”', 'factor', 'rise', 'world', 'decad', 'scientist', 'studi', 'monday']","arctic, warming, rapidly","['warm', 'loss', 'greenland', 'factor', 'sea', 'level', 'studi']","greenland, melting, ice","['greenland', '’', 'ice', 'tip', 'point', 'scientist']"
Fracking Wasn’t Supposed to Cause Quakes in U.K. But Then the Ground Shook.,Cuadrilla Resources has stopped its hydraulic fracturing in Lancashire and pulled equipment off the site. The future of fracking in Britain remains uncertain.,"LONDON — Last fall an energy company began a hydraulic fracturing operation in northwest England that it hoped would be a milestone in creating a new, domestic source of natural gas for Britain — in much the same way that fracking has taken hold in the United States.",Hydraulic Fracturing,News,"london, last, fall","['london', '—', 'fall', 'energi', 'compani', 'fractur', 'oper', 'england', 'mileston', 'sourc', 'ga', 'britain', '—', 'way', 'frack', 'hold', 'state']","cuadrilla, resource, stopped","['cuadrilla', 'resourc', 'fractur', 'lancashir', 'equip', 'site', 'futur', 'britain', 'remain']","fracking, supposed, cause","['’', 'quak', 'ground', 'shook']"
"Deripaska and Allies Could Benefit From Sanctions Deal, Document Shows",The Trump administration’s agreement to lift sanctions on the empire of the Russian oligarch Oleg Deripaska would allow him to pay off substantial debt.,"WASHINGTON — When the Trump administration announced last month that it was lifting sanctions against a trio of companies controlled by an influential Russian oligarch, it cast the move as tough on Russia and on the oligarch, arguing that he had to make painful concessions to get the sanctions lifted.","Deripaska, Oleg V",News,"sanction, oligarch, washington","['washington', '—', 'trump', 'administr', 'month', 'sanction', 'trio', 'compani', 'oligarch', 'move', 'russia', 'oligarch', 'concess', 'sanction']","trump, administration, agreement","['trump', 'administr', '’', 'agreement', 'sanction', 'empir', 'oligarch', 'oleg', 'deripaska', 'debt']","deripaska, ally, could","['deripaska', 'alli', 'sanction', 'deal', 'document', 'show']"
"Reggie Young, Guitarist Heard on Hundreds of Hits, Dies at 82","A studio mainstay first in Memphis and later in Nashville, Mr. Young recorded with Elvis Presley and countless others.","NASHVILLE — Reggie Young, a prolific studio guitarist who appeared on landmark recordings by Elvis Presley and many others and played a prominent role in shaping the sound of Southern popular music in the 1960s and ’70s, died on Thursday at his home in Leipers Fork, Tenn., just outside Nashville. He was 82.","Young, Reggie (1936-2019)",Obituary (Obit),"nashville, reggie, young","['—', 'reggi', 'studio', 'guitarist', 'landmark', 'record', 'presley', 'other', 'role', 'sound', 'music', '1960', 'thursday', 'home', 'leiper']","studio, mainstay, first","['studio', 'mainstay', 'memphi', 'presley', 'countless', 'other']","reggie, young, guitarist","['reggi', 'guitarist', 'heard', 'hundr', 'hit', 'die']"
Scholars and Ex-Diplomats Warn of Chill After Canadians Detained in China,"An open letter urges China to free two Canadian men, and warns that their detention will magnify distrust and impede international cooperation on research.","BEIJING — Warning that China’s arrest of two Canadians has created a dangerous chill for people working on policy and research in that country, more than 100 academics and former diplomats have signed an open letter calling for the two men to be immediately freed.",Canada,News,"two, beijing, warning","['—', 'warn', '’', 'arrest', 'canadian', 'chill', 'peopl', 'polici', 'research', 'countri', 'academ', 'diplomat', 'letter', 'men']","open, letter, urge","['letter', 'men', 'warn', 'detent', 'distrust', 'cooper', 'research']","scholar, ex, diplomat","['scholar', 'exdiplomat', 'chill', 'canadian', 'china']"
When More Democracy Isn’t More Democratic,The checks democratic systems impose on popular will are no accident. But the discontent they can lead to offers fertile ground to populists.,"LONDON — To hear some British politicians tell it, they are mere servants. They can only execute popular will, whatever the cost to the country or themselves. To do otherwise would be to betray democracy itself.",Democracy (Theory and Philosophy),News,"london, hear, british","['london', '—', 'politician', 'servant', 'cost', 'countri', 'democraci']","check, democratic, system","['check', 'system', 'accid', 'discont', 'offer', 'ground', 'populist']","democracy, democratic","['democraci', '’']"
5 Times the Trump Administration Has Been Tougher Than Trump on Russia,President Trump likes to say he has been tougher on Russia than his predecessors. But he has frequently contradicted his own administration’s anti-Russian positions.,"WASHINGTON — President Trump boasted recently that he has been “FAR tougher” on Russia than other American presidents. But while the Trump administration has cracked down on Russian diplomats, government officials and oligarchs, Mr. Trump himself largely has taken a far more generous stance toward Moscow.",United States Politics and Government,News,"trump, president, far","['washington', '—', 'presid', 'trump', '“', 'russia', 'presid', 'trump', 'administr', 'govern', 'offici', 'mr', 'trump', 'stanc', 'moscow']","president, trump, like","['presid', 'trump', 'russia', 'predecessor', 'administr', '’', 'posit']","trump, 5, time","['time', 'trump', 'administr', 'trump', 'russia']"
In Memoriam: What Would Gary Gutting Do?,"The influential philosopher and educator, who died Friday, exemplified the spirit of engagement, uncompromising thought and civility we need today. ","When Americans lament the loss of civility in public discourse, the nobility of purpose in education and the ability to reach across contentious political and ideological divides — or  just flat out wonder why we all can’t get along and learn from one another — they are talking about the loss of people like Gary Gutting.",Philosophy,Op-Ed,"loss, american, lament","['american', 'loss', 'civil', 'nobil', 'purpos', 'educ', 'abil', 'divid', '—', 'loss', 'peopl', 'gut']","influential, philosopher, educator","['philosoph', 'educ', 'spirit', 'engag', 'thought', 'civil', 'today']","memoriam, would, gary","['memoriam', 'gut']"
"China Transforms, and a Factory Owner Struggles to Follow","Shao Chunyou rose from the assembly line to the boss’s office. Now the old recipes for success don’t work, and he must reinvent himself again.","Shao Chunyou exemplifies the Chinese dream. Over three decades, he rose from an assembly line worker to an electronics business owner, following China’s rise from an economic backwater to the world’s No. 2 economy. He now owns two factories and employs over 2,000 workers.",China,News,"worker, 2, shao","['shao', 'chunyou', 'dream', 'decad', 'assembl', 'line', 'worker', 'electron', 'busi', 'owner', 'china', '’', 'rise', 'backwat', 'world', '’', 'economi', 'factori', 'worker']","shao, chunyou, rose","['shao', 'chunyou', 'assembl', 'line', 'bos', '’', 'offic', 'recip', 'success', '’', 'work']","china, transforms, factory","['china', 'transform', 'factori', 'owner']"
"These Days, ‘You Practically Need a Ph.D.’ to Figure Out Frequent-Flier Status","Airlines’ most valuable customers — the ones who fly and spend the most — get lots of perks. For everyone else, it has become more complicated to qualify.","The airlines’ most valuable customers, those who fly most often and spend the most money, receive the sorts of benefits that most travelers can only salivate over — lounge access, free checked luggage, free upgrades, free itinerary changes.",AIRLINES AND AIRPLANES,News,"free, airline, valuable","['airlin', 'custom', 'money', 'sort', 'benefit', 'travel', 'loung', 'access', 'upgrad', 'chang']","airline, valuable, customer","['airlin', 'custom', 'one', 'lot', 'perk', 'everyon']","day, practically, need","['day', 'phd', '’', 'statu']"
Giuliani Says His Moscow Trump Tower Comments Were ‘Hypothetical’,"The president’s personal lawyer, Rudolph W. Giuliani, said his own widely reported statements about when talks about the skyscraper project might have ended were only “hypothetical.”","President Trump’s personal lawyer on Monday walked back the timeline he had offered a day earlier on when negotiations ended with Russian officials about a proposed Trump Tower project in Moscow, calling his comments “hypothetical” and not intended to convey facts.",Russian Interference in 2016 US Elections and Ties to Trump Associates,News,"trump, president, personal","['presid', 'trump', '’', 'lawyer', 'monday', 'timelin', 'day', 'negoti', 'offici', 'trump', 'tower', 'project', 'moscow', 'comment', '”', 'fact']","president, personal, lawyer","['presid', '’', 'lawyer', 'rudolph', 'w', 'giuliani', 'statement', 'talk', 'skyscrap', 'project', '”']","giuliani, say, moscow","['giuliani', 'moscow', 'trump', 'tower', 'comment', '’']"
Skating Is Familiar With Scandal. Now It Is Confronting Something Grimmer.,"John Coughlin, who had been a competitor, coach and commentator, was under investigation for sexual misconduct when he apparently committed suicide last week.","The United States figure skating championships begin Thursday in Detroit, 25 years after Nancy Kerrigan was attacked there by associates of Tonya Harding.",Figure Skating,News,"united, state, figure","['state', 'championship', 'year', 'nanci', 'kerrigan', 'associ', 'tonya', 'hard']","john, coughlin, competitor","['john', 'coughlin', 'competitor', 'coach', 'comment', 'investig', 'misconduct', 'suicid', 'week']","skating, familiar, scandal","['skate', 'scandal', 'someth', 'grimmer']"
What Made the TV Show ‘You’ a Hit? Netflix,"The show drew virtually no audience when it premiered on Lifetime in September. Now that it’s streaming, it’s a different story.","Throughout the fall, the producer Greg Berlanti was trying to save his cable drama “You.”",Television,News,"throughout, fall, producer","['fall', 'produc', 'greg', 'berlanti', 'cabl', 'drama', '“']","show, drew, virtually","['show', 'audienc', 'lifetim', 'septemb', '’', 'stori']","made, tv, show","['tv', 'show', 'hit', 'netflix']"
"Tony Mendez, 78, Dies; C.I.A. Officer Celebrated in the Film ‘Argo’",Mr. Mendez orchestrated one of the most audacious covert operations in the agency’s history: the rescue of six American diplomats from Iran in 1980.,"It was a blind ad in a newspaper that caught Tony Mendez’s eye in 1965. The ad (“Artists to Work Overseas — U.S. Navy Civilians”) did not identify the employer, but it carried the whiff of adventure.","Mendez, Tony",Obituary (Obit),"ad, blind, newspaper","['ad', 'newspap', 'mendez', '’', 'eye', 'ad', '“', 'artist', 'civilian', 'employ', 'whiff', 'adventur']","mr, mendez, orchestrated","['mr', 'mendez', 'oper', 'agenc', '’', 'histori', 'rescu', 'diplomat', 'iran']","tony, mendez, 78","['mendez', 'die', 'offic', 'film', '‘', 'argo', '’']"
"In a Lost Season, the Devils May Have Found a Goalie of the Future","Mackenzie Blackwood, 22, has offered a glimpse of hope for a team that has come back to earth after a surprising playoff run last season.","NEWARK — The Devils appeared to be a franchise on the rise after a surprising playoff berth last season. But except for the glimpse of hope offered by the young goalie Mackenzie Blackwood, 2018-19 quickly devolved into a lost season.","Hockey, Ice",News,"season, newark, devil","['newark', 'devil', 'franchis', 'rise', 'playoff', 'berth', 'season', 'glimps', 'hope', 'goali', 'season']","mackenzie, blackwood, 22","['mackenzi', 'blackwood', 'glimps', 'hope', 'team', 'earth', 'playoff', 'season']","lost, season, devil","['lost', 'season', 'devil', 'goali', 'futur']"
The Economy Won’t Rescue Trump,"Sorry, Donald, no morning in America for you.","Although there have been approximately 100,000 media profiles of enthusiastic blue-collar Trump supporters in diners, the reality is that Donald Trump is extraordinarily unpopular. A recent Pew analysis found only one other modern president with such a low approval rating two years into his administration.","Reagan, Ronald Wilson",Op-Ed,"trump, although, approximately","['medium', 'profil', 'trump', 'support', 'diner', 'realiti', 'trump', 'pew', 'analysi', 'presid', 'approv', 'rate', 'year', 'administr']","sorry, donald, morning","['sorri', 'morn', 'america']","economy, rescue, trump","['economi', 'rescu', 'trump']"
Roe v. Wade Is at Risk. Here’s How to Prepare.,Abortion rights are under threat from the Supreme Court. But states can take critical actions.,"Abortion opponents have spent decades planning for a Supreme Court with a majority hostile to reproductive rights. So it’s little surprise that, with the confirmation of Brett Kavanaugh in the fall, the necessary fifth vote, they’ve been quick to seize the moment.",ABORTION,Editorial,"abortion, opponent, spent","['abort', 'oppon', 'decad', 'court', 'major', 'hostil', 'right', '’', 'surpris', 'confirm', 'brett', 'kavanaugh', 'fall', 'vote', 'moment']","abortion, right, threat","['abort', 'right', 'threat', 'court', 'state', 'action']","roe, v, wade","['roe', 'v', 'wade', 'risk', '’']"
"Super Bowl LIII Will Have a Young Coach, an Old Coach and a Lot of Things in Between","The quarterbacks are a contrast, too. Tom Brady is 41 while Jared Goff is just 24. And this is the first Super Bowl to be a prime number since XLVII (47).","Not every Super Bowl is super, and we’ll find out if this year’s edition fits the tag on Feb. 3. But we do know some of what is in store.",Football,News,"super, every, bowl","['super', 'bowl', 'year', 'edit', 'tag', 'store']","quarterback, contrast, tom","['quarterback', 'contrast', 'bradi', 'goff', 'bowl', 'number']","coach, super, bowl","['bowl', 'liii', 'coach', 'coach', 'lot', 'thing']"
Trump Proposals Could Increase Health Costs for Consumers,"President Trump says he wants to reduce drug prices, but some patients could face higher out-of-pocket costs for medicines and other goods and services.",WASHINGTON — Consumers who use expensive brand-name prescription drugs when cheaper alternatives are available could face higher costs under a new policy being proposed by the Trump administration.,Health Insurance and Managed Care,News,"washington, consumer, use","['washington', 'consum', 'brandnam', 'prescript', 'drug', 'altern', 'cost', 'polici', 'trump', 'administr']","president, trump, say","['presid', 'trump', 'drug', 'price', 'patient', 'outofpocket', 'cost', 'medicin', 'good', 'servic']","trump, proposal, could","['trump', 'propos', 'health', 'cost', 'consum']"
Houston Rockets Trade Carmelo Anthony to Chicago Bulls,"The former All-Star is not expected to ever play for Chicago, but Houston enticed the Bulls to accept the trade by covering some of his salary.","Carmelo Anthony will finally secure his escape from the Houston Rockets on Tuesday when the Rockets complete a trade that sends the former All-Star to the Chicago Bulls, according to a person with knowledge of the deal.",Trades (Sports),News,"rocket, carmelo, anthony","['carmelo', 'anthoni', 'escap', 'houston', 'tuesday', 'rocket', 'trade', 'allstar', 'chicago', 'person', 'knowledg', 'deal']","former, star, expected","['allstar', 'chicago', 'houston', 'bull', 'trade', 'salari']","houston, rocket, trade","['houston', 'rocket', 'carmelo', 'anthoni', 'bull']"
Mexico Pipeline Explosion Tests New President,"President Andrés Manuel López Obrador’s response to a blast that killed dozens, many stealing fuel, has exposed a central tension between two of his policy vows: fighting crime and lifting the poor.","MEXICO CITY — Word spread quickly: free gasoline. It was spewing from a pipeline, through a hole punched by fuel thieves. People — as many as 900, by some estimates — flocked to the rupture, many carrying containers to fill.",Mexico,News,"many, mexico, city","['citi', '—', 'word', 'spread', 'gasolin', 'pipelin', 'hole', 'fuel', 'thiev', 'peopl', 'estim', 'ruptur', 'contain']","president, andrés, manuel","['presid', 'andré', 'obrador', '’', 'respons', 'blast', 'dozen', 'fuel', 'tension', 'polici', 'crime']","mexico, pipeline, explosion","['pipelin', 'explos', 'presid']"
"Had Enough of Snow? Try Frost Quakes, Waterspouts and Bitter Cold","The Northeast and Midwest were socked with a sudden drop in temperatures, setting off a new wave of woes: bitter wind chills, frozen car engines, canceled flights.","You could be forgiven for thinking that the worst of the weather was already behind us. Indeed, the first major snowstorm of the year has moved on.",Weather,News,"could, forgiven, thinking","['weather', 'snowstorm', 'year']","northeast, midwest, socked","['northeast', 'drop', 'temperatur', 'wave', 'woe', 'chill', 'car', 'engin', 'flight']","enough, snow, try","['enough', 'tri', 'frost', 'quak', 'waterspout', 'cold']"
"Brandon Truaxe, Visionary Beauty Entrepreneur, Is Dead at 40","He founded Deciem, owners of The Ordinary. ","Brandon Truaxe, the founder of the disruptive Canadian cosmetics company Deciem, has died. He was 40.","Truaxe, Brandon",News,"brandon, truaxe, founder","['brandon', 'founder', 'cosmet', 'compani', 'deciem']","founded, deciem, owner","['deciem', 'owner']","brandon, truaxe, visionary","['brandon', 'truax', 'beauti', 'entrepreneur']"
Trump Loves the Stock Market. Sometimes It Loves Him Back.,"Since his election, President Trump has had a big influence on Wall Street. Stocks are up 25 percent, but it has not always been a smooth ride.","Since his election, President Trump has had a big influence on Wall Street. Stocks are up 25 percent, but it has not always been a smooth ride.","Trump, Donald J",Interactive Feature,"since, election, president","['elect', 'presid', 'trump', 'influenc', 'street', 'stock', 'percent', 'ride']","since, election, president","['elect', 'presid', 'trump', 'influenc', 'street', 'stock', 'percent', 'ride']","love, trump, stock","['trump', 'stock', 'market']"
A Woman to Vanquish Trump,To see this president lose to a woman would start to heal the injury of his repulsive reign.,"The February before the 2016 election, Dan Cassino, a political scientist at Fairleigh Dickinson University, and some of his colleagues tried to measure how threats to traditional masculinity affected male voting behavior.",Women and Girls,Op-Ed,"february, 2016, election","['elect', 'dan', 'cassino', 'scientist', 'dickinson', 'univers', 'colleagu', 'threat', 'masculin', 'vote', 'behavior']","see, president, lose","['presid', 'woman', 'injuri', 'reign']","woman, vanquish, trump","['woman', 'trump']"
How We Destroy Lives Today,Will the Covington Catholic High School fiasco change social media?,"Within living memory, political polarization had at least something to do with issues, but in the age of social media it’s almost entirely about social type. It’s about finding and spreading the viral soap operas that are supposed to reveal the dark hearts of those who are in the opposite social type from your own.",Social Media,Op-Ed,"social, type, within","['polar', 'someth', 'issu', 'age', 'medium', 'type', 'soap', 'opera', 'dark', 'heart', 'type']","covington, catholic, high","['covington', 'school', 'fiasco', 'chang', 'medium']","destroy, life, today","['live', 'today']"
"After Viral Video, Families of Covington Are Swiftly Circling to Protect Their Boys","A Catholic high school in Kentucky has been thrust into a firestorm that touched seemingly every raw nerve in this polarized country — race, President Trump and the behavior of young white men.","COVINGTON, Ky. — On Friday night, all anyone at Covington Catholic High School was talking about was that their star Colonels basketball team had unexpectedly lost to the rival St. Xavier Bombers, 55-45.",Race and Ethnicity,News,"covington, ky, friday","['covington', 'night', 'anyon', 'covington', 'school', 'star', 'colonel', 'basketbal', 'team', 'st', 'xavier', 'bomber']","catholic, high, school","['school', 'kentucki', 'firestorm', 'nerv', 'countri', '—', 'race', 'presid', 'trump', 'behavior', 'men']","viral, video, family","['video', 'famili', 'covington', 'boy']"
The Yankees Trade Sonny Gray to the Reds for a Pick and a Prospect,The deal comes less than two years after the Yankees acquired Gray from Oakland in hopes that he would bolster their rotation.,"On July 31, 2017, the Yankees sent three solid prospects to the Oakland Athletics in exchange for Sonny Gray, who was expected to immediately stabilize New York’s starting rotation.",Baseball,News,"july, 31, 2017","['juli', 'yanke', 'prospect', 'oakland', 'athlet', 'exchang', 'gray', 'york', '’', 'rotat']","deal, come, le","['deal', 'year', 'yanke', 'oakland', 'hope', 'rotat']","yankee, trade, sonny","['yanke', 'gray', 'red', 'pick', 'prospect']"
Review: A Catalog of America’s Problems in ‘Awake’,"K. Lorrel Manning takes on racism, homophobia, sexism, police violence and immigration in nine short plays.","Racism, homophobia, sexism, police violence, immigration: All of these issues come up in “Awake.” It would be a lot for any one play — but “Awake” has nine of them, each clocking in at around 10 or 15 minutes. To its credit, the show, written and directed by K. Lorrel Manning at the Barrow Group, moves at a steady clip. After all, the best thing about an anthology is that if an individual play isn’t very good, it also won’t be very long.",Theater,Review,"awake, play, racism","['racism', 'sexism', 'polic', 'violenc', 'immigr', 'issu', '“', '”', 'lot', 'play', '—', '“', '”', 'clock', 'minut', 'credit', 'show', 'k', 'lorrel', 'man', 'barrow', 'group', 'clip', 'thing', 'antholog', 'play', '’', '’']","k, lorrel, manning","['k', 'lorrel', 'racism', 'homophobia', 'sexism', 'polic', 'violenc', 'immigr', 'play']","review, catalog, america","['catalog', '’', 'problem', '‘', '’']"
